Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
"FDM Development Partnership, LLLP",Historic Fort Des Moines residential rehabilitation,Residential,"Historic Fort Des Moines (south of Army Post Rd, east of SW 9th St)",2037983.0,unverified (no NPV stated in source),,5.4,"100% of project increment yrs 1-10; 75% yrs 10-15; est. NPV $2,037,983; semi-annual payments",38000000.0,,approved,,,,,,,,,,,,142.0,Southside Economic Development Urban Renewal Area,17-0775,amend agreement,2017-05-08,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2016-08-22: amend agreement [16-1412] (approved) | 2017-05-08: amend agreement [17-0775] (approved),2017-05-08,2017-05-08,https://councildocs.dsm.city/communications/2017/17-404.pdf,1,"Estimated NPV $2,037,983"
"Rally Cap Properties, LLC",Des Moines scattered-site housing rehabilitation,Residential,"687 28th St, 1520 32nd St, 541 35th St, 693 19th St, 740 26th St, 726 27th St",,,,,,1500000.0,"other $144,840 (State Workforce Housing Tax Credits (IEDA), estimated); tax abatement $423,618 (10-yr 100% residential tax abatement (local match), estimated)",approved,,,,,,243671.0,"R.E. Properties, LLC",,,,,8.0,,17-0774,other,2017-05-08,approved,7-0,,medium,,2017-05-08: other [17-0774] (approved),,2017-05-08,https://councildocs.dsm.city/communications/2017/17-403.pdf,1,"WHTC benefits are estimated at $144,840 and local match"
"H. Glass Partners, LLC",212 E. 3rd Street historic rehabilitation,Retail / restaurant,212 E. 3rd Street,419000.0,unverified (no NPV stated in source),,14.4,"declining % of project increment: 90% yrs 1-5, 85% yrs 6-9, 80% yrs 10-12, 75% yrs 13-15; 15 annual payments; NPV $419,000",2900000.0,"land conveyance $1,000 (sale of adjoining vacated City right-of-way to developer for $1,000 (hearing set 5-22-17))",approved,,,,,,159397.0,H Glass Partners LLC,,,,,,Metro Center Urban Renewal Area,17-0776,approve development agreement,2017-05-08,approved,7-0,,high,,2017-05-08: approve development agreement [17-0776] (approved),2017-05-08,2017-05-08,https://councildocs.dsm.city/communications/2017/17-402.pdf,1,"net present value (NPV) of $419,000"
Federal Home Loan Bank of Des Moines,FHLB headquarters relocation and expansion,Office,909 and 912 Locust Street,,,,,Economic Development Grant = 50% of new tax increment (less SSMID & debt-protected levies); 30 semi-annual installments,,"parking (20% discount off market-rate parking, up to 425 stalls in 9th & Locust Garage, 10 of 15-yr license)",completed,2019-10-14,,,,,1107048.0,Federal Home Loan Bank,2440100.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,17-0684,approve development agreement,2017-04-17,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2017-03-06: resolution of intent [17-0395] (approved) | 2017-04-17: approve development agreement [17-0684] (approved),,,https://councildocs.dsm.city/communications/2017/17-380.pdf,2,Economic Development Grant of 50% of the new tax increment
"Blackbird Investments, LLC",Fifth and Walnut Parking Garage redevelopment (hotel/residential tower),Parking,422 Walnut Street,,,,,"100% of project increment 20 yrs (residential tower, podium, parking deck); 90% 20 yrs (hotel); capped at yr-11 amount",,"forgivable loan $4,000,000 (economic development forgivable loan equal to $4M site purchase price); loan $28,500,000 (Parking Shortfall Loan; semi-annual advances over 20 yrs, total est. $28.5M (NPV $20.9M @3.5%), accrues 1% interest)",approved,,,,,,,,1511000.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,47,approve development agreement,2017-04-03,,,,low,figure_not_in_source;minutes_truncated;counterparty_changed_across_actions;multi_meeting_project,2017-03-20: approve development agreement [422] (withdrawn) | 2017-04-03: approve development agreement [47] | 2017-08-14: other [17-1377] (approved),,,https://councildocs.dsm.city/communications/2017/17-346.pdf,1,developer will purchase the site for $4 million and receive
"Thompson Properties, L.C. (d/b/a Heating & Cooling Supply Company, Inc.)","50,000 sf warehouse and operations center",Industrial / warehouse,1105 and 1125 East Broadway Avenue,350000.0,unverified (no NPV stated in source),,6.9,"100% of project-generated increment coinciding with 10-yr abatement, max 10 yrs, up to $350,000 NPV @ 6%",5100000.0,tax abatement (10-year declining commercial tax abatement),completed,2019-07-15,,,,,248146.0,Thompson Properties LLC,,,,,,Northeast Gateway 1 Urban Renewal Area,17-0535,approve development agreement,2017-03-20,approved,7-0,,high,multi_meeting_project,2017-03-20: approve development agreement [17-0535] (approved) | 2017-08-14: other [17-1379] (approved),2017-03-20,2017-03-20,https://councildocs.dsm.city/communications/2017/17-284.pdf,1,"up to a maximum amount of $350,000 net present value"
Des Moines Bicycle Collective,B-Cycle Program expansion,Other,,,,,,,,"economic development grant $36,000 ($36,000 over 3 years in equal payments of $12,000/year)",approved,,,,,,,,,,,,,,17-0044,amend agreement,2017-01-09,approved,7-0,,high,,2017-01-09: amend agreement [17-0044] (approved),,,https://councildocs.dsm.city/communications/2017/17-022.pdf,1,"financial assistance in the amount of $36,000 to the Des Moines Bicycle Collective"
Hubbell Realty Company,Carbon 550 (50-unit apartment project),Residential,550 Watson Powell Jr. Way,,,,,"$500,000 economic development assistance funded from Metro Center Tax Increment Financing (upfront advance; not an increment-percentage rebate)",8600000.0,"economic development grant $500,000 ($500,000 economic development assistance advanced upon final URDA and land closing; offsets $650,000+ extraordinary utility/environmental costs; funded by Metro Center TIF; project also eligible for 10-yr tax abatement)",approved,,,,,,500000.0,CARBON 550,8140000.0,2018.0,DES MOINES METRO CENTER MERGED UR,,50.0,Metro Center,16-2165,approve development agreement,2016-12-19,approved,7-0,,high,,2016-12-19: approve development agreement [16-2165] (approved),,2016-12-19,https://councildocs.dsm.city/communications/2016/16-723.pdf,1,"negotiated a $500,000 financial assistance package"
"701 Walnut Partnership, LLC",701 Walnut Street tower (east side of former Younkers site),Residential,701 Walnut Street,4273982.0,unverified (no NPV stated in source),,5.3,"100% of project-generated tax increment yrs 9-20 (payment period totaling 12 years); TIF backfill in yrs 9-10 to approximate a 10-yr 100% residential tax abatement schedule; semi-annual; NPV $4,273,982 (~5% of total project cost)",80000000.0,,approved,,,,,,,,1340000.0,,DES MOINES METRO CENTER MERGED UR,,276.0,Metro Center Urban Renewal Area,16-2189,approve development agreement,2016-12-19,approved,7-0,,high,multi_meeting_project,2016-12-19: approve development agreement [16-2189] (approved) | 2017-08-28: amend agreement [17-1473] (approved),2016-12-19,2016-12-19,https://councildocs.dsm.city/communications/2016/16-706.pdf,1,"Estimated NPV of TIF payments is $4,273,982"
Revive Community Development,Edna M. Griffin Building restoration & conversion,Residential,319 7th Street,,,,,,10500000.0,"other $865,000 (State WHTC benefit estimated $865,000); tax abatement $1,250,000 (10-year 100% residential tax abatement local match, est. $1,250,000)",completed,2020-11-23,,,,,,,6720000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,46.0,,16-2070,other,2016-12-05,approved,7-0,,high,,2016-12-05: other [16-2070] (approved),,2016-12-05,https://councildocs.dsm.city/communications/2016/16-675.pdf,1,"WHTC benefits are estimated at $865,000"
"Cityville on 9th III, LLC (West Bank as financing party)",Cityville on 9th,Other,,,,,,,,economic development grant (Existing Cityville on 9th URDA incentives referenced; amounts not in provided text),approved,,,,,,,,,,,,,,16-2071,other,2016-12-05,approved,7-0,,medium,figure_not_in_source,2016-12-05: other [16-2071] (approved),,,https://councildocs.dsm.city/agendas/ag20161205.pdf,5,Consent to Collateral Assignment of the Amended and Restated Urban Renewal Development Agreement for the Cityville on 9th project
"HRC 6th Street, LLC",43-unit multi-family housing project at 550 Watson Powell Jr. Way,Residential,550 Watson Powell Jr. Way,,,,,,,economic development grant (URDA incentive expected; Council Communication 16-693 not retrieved (text unavailable)),approved,,,,,,,,8140000.0,2018.0,DES MOINES METRO CENTER MERGED UR,,43.0,,16-2101,approve development agreement,2016-12-05,,,,low,figure_not_in_source,2016-12-05: approve development agreement [16-2101],,,https://councildocs.dsm.city/agendas/ag20161205.pdf,8,"Urban Renewal Development Agreement with HRC 6th Street, LLC ... 43-unit multi-family housing project"
,,Other,,,,,,Ordinance establishing Tax Increment Financing for the Forest Avenue Urban Renewal Area (enables TIF for the NDC 50-unit multi-family project),,,approved,,,,,,,,,,,,,Forest Avenue Urban Renewal Area,16-1751,ordinance,2016-10-10,approved,7-0,,high,,2016-10-10: ordinance [16-1751] (approved),,,https://councildocs.dsm.city/communications/2016/16-569.pdf,1,Adopt the Forest Avenue Tax Increment Finance (TIF) Ordinance
Neighborhood Development Corporation (NDC),Forest Avenue Village (50-unit multi-family),TIF district / UR plan,"3201 Forest Avenue (3221, 3211, 3201 Forest Ave; 1420 & 1414 32nd St)",731319.0,unverified (no NPV stated in source),,9.6,Declining % of project-generated tax increment: 100% yrs 1-5; 80% yr 6; 60% yr 7; 40% yr 8; 20% yrs 9-10; exact installment amounts per Polk County Assessor valuation (Forest Avenue TIF district to be created),7600000.0,,approved,,,,,,,,5050000.0,2017.0,DES MOINES FOREST AVENUE UR,,50.0,Forest Avenue Urban Renewal Area,16-1573,approve development agreement,2016-09-12,approved,7-0,,high,multi_meeting_project,2016-08-08: other [47] (approved) | 2016-09-12: approve development agreement [16-1573] (approved),2016-08-08,2016-08-08,https://councildocs.dsm.city/communications/2016/16-516.pdf,1,declining percentage of project-generated tax increment revenues ... 100% in years 1-5
"Excell Marketing, L.C.",Excell Marketing facility expansion,Office,5501 Park Avenue,,,,,,5300000.0,"tax abatement $286,000 (City local match = 3-year 100% property tax abatement under Third Restated Urban Revitalization Plan (Citywide Urban Revitalization Area); estimated value $286,000); other $176,000 (State HQJ investment tax credits up to $176,000); other $129,000 (State HQJ refund of sales/service/use tax on construction materials up to $129,000)",approved,,,,,,,,11600000.0,2006.0,,,,,16-1528,approve development agreement,2016-09-12,approved,7-0,,high,,2016-09-12: approve development agreement [16-1528] (approved),,2016-09-12,https://councildocs.dsm.city/communications/2016/16-520.pdf,1,"Amount: $286,000 estimated"
"Liberty Des Moines, L.L.C. (assignee, Schulte Hospitality Group); Liberty Building Historic Rehab, LLC / 418 Hospitality, LLC (assignors)",Liberty Building Rehabilitation & Parking Garage / Hyatt Place Hotel,Parking,418 6th Avenue,,,,,,,economic development grant (Existing Metro Center URDA economic development grant installments assigned to new owner; amount not stated in provided text),approved,,,,,,616084.0,Liberty Building Historic Rehab LLC,2415000.0,2008.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,16-1530,other,2016-09-12,approved,7-0,,medium,figure_not_in_source,2016-09-12: other [16-1530] (approved),,,https://councildocs.dsm.city/communications/2016/16-501.pdf,1,assignment of Urban Renewal Development Agreement and Economic Development Grant payments
"M & R Holdings, LLC",Beaver Cove Townhomes,Residential,4209 Lower Beaver Road,,,,,,5700000.0,other (State WHTC benefit (amount not stated in provided text for this candidate)),approved,,,,,,,,,,,,38.0,,16-1410,other,2016-08-22,approved,5-1-1,,medium,figure_not_in_source;multi_meeting_project,2016-08-08: other [25] (continued) | 2016-08-22: other [16-1410] (approved),,2016-08-08,https://councildocs.dsm.city/agendas/ag20160822.pdf,7,38-unit bi-attached townhome development at 4209 Lower Beaver Road
"220 SE 6th Street Properties, LLC",220 SE 6th Street office building and parking structure (PDM Precast / GPS Impact),Parking,220 SE 6th Street,,,,,"Declining % of project-generated tax increment: 100% yrs 1-2, 95% yrs 3-5, 90% yrs 6-10, 85% yrs 11-12, 75% yrs 13-15, 50% yrs 16-20 (Metro Center TIF)",10700000.0,"economic development grant $200,000 ($200,000 grant paid upon completion of the Improvements); parking $94,500 (25-year City parking license for 60 spaces; $94,500 in year 1 ($125/stall + .05% admin fee); CPI escalation)",completed,2017-08-28,,,,,,,7140000.0,2016.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center,16-1411,approve development agreement,2016-08-22,approved,5-1-1,,high,figure_not_in_source;multi_meeting_project,2016-08-22: approve development agreement [16-1411] (approved) | 2016-11-21: other [16-2000] (approved) | 2017-06-26: amend agreement [17-1061] (approved),,2016-08-22,https://councildocs.dsm.city/communications/2016/16-479.pdf,1,"a grant in the amount of $200,000 to be paid upon completion"
"Raccoon Valley Investment Company, L.C.",Fleur Drive commercial area (Panera Bread Cafe / former Mezzodi's site),Other,"4519 Fleur Drive (east of Fleur Drive, north of McKinley Avenue)",,,,,,,,approved,,,,,,89543.0,Raccoon Valley Investments LLC,1350000.0,2016.0,DES MOINES FLEUR DRIVE COMMERCIAL UR,,,Fleur Drive Urban Renewal Area,16-1413,amend agreement,2016-08-22,approved,6-1,,medium,,2016-08-22: amend agreement [16-1413] (approved),,,https://councildocs.dsm.city/communications/2016/16-470.pdf,1,redevelop the former Mezzodi's site at 4519 Fleur Drive with a restaurant
"College Hill Associates, L.P. (owner) / Newbury Management Company (developer)",College Hill Apartments renovation + commercial office building,Residential,921 6th Avenue,,,,,"Project-generated tax increment rebates yrs 1-10 at 95%, yrs 11-15 at 75%; frozen base $1,137,621 taxable valuation; total assistance package NPV $1.7M (includes ROW land-acquisition grant)",,"economic development grant $99,556 (Economic development grant equal to ROW acquisition price along 5th Avenue ($99,556); drops out if City cannot acquire the State-owned excess ROW)",completed,2019-05-20,,,,,762247.0,College Hill Associates,2120000.0,,DES MOINES METRO CENTER MERGED UR,,86.0,Metro Center,16-1415,amend agreement,2016-08-22,approved,6-1,,high,,2016-08-22: amend agreement [16-1415] (approved),,,https://councildocs.dsm.city/communications/2016/16-471.pdf,1,total financial assistance package has an estimated net present value (NPV) of $1.7 million
"Janssen Lodging, Inc.",Hotel Fort Des Moines renovation,Hotel,1000 Walnut Street,4118993.0,unverified (no NPV stated in source),,11.1,"Economic development grant = 90% of project's annually generated tax increment for 20 years, semi-annual installments; NPV $4,118,993 (11-12% of total project cost)",37000000.0,,completed,2022-04-04,,,,,,,15500000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,16-1340,approve development agreement,2016-08-08,approved,6-1,,high,multi_meeting_project,2016-08-08: approve development agreement [16-1340] (approved) | 2018-05-07: amend agreement [18-0773] (approved) | 2020-09-14: amend agreement [20-1452] (approved),2016-08-08,2016-08-08,https://councildocs.dsm.city/communications/2016/16-434.pdf,1,"net present value (NPV) of the assistance is $4,118,993"
"Roers Investments, LLC",,Residential,2301 Ingersoll Avenue; 1400 Walnut Street,,,,,,50000000.0,"other $2,000,000 (State Workforce Housing Tax Credit benefits estimated $2,000,000 (sales/use tax refund + up to 10% investment tax credit)); tax abatement $5,200,000 (Residential tax abatement local match for 2301 Ingersoll (23 Ingersoll, LLC), valued ~$5.2M); tax abatement $2,600,000 (Residential tax abatement local match for 1400 Walnut (14 Walnut, LLC), valued ~$2.6M)",approved,,,,,,417500.0,ST Investments LLC,44327000.0,2017.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,238.0,,32,other,2016-07-11,approved,7-0,,high,,2016-07-11: other [32] (approved),,2016-07-11,https://councildocs.dsm.city/communications/2016/16-388.pdf,1,"WHTC benefits are estimated at $2,000,000"
